307.0	3504.0	70.0	18.0
350.0	3693.0	70.0	15.0
318.0	3436.0	70.0	18.0
304.0	3433.0	70.0	16.0
302.0	3449.0	70.0	17.0
429.0	4341.0	70.0	15.0
455.0	4425.0	70.0	14.0
383.0	3563.0	70.0	15.0
455.0	3086.0	70.0	14.0
113.0	2372.0	70.0	24.0
198.0	2833.0	70.0	22.0
199.0	2774.0	70.0	18.0
200.0	2587.0	70.0	21.0
97.0	2130.0	70.0	27.0
97.0	1835.0	70.0	26.0
110.0	2672.0	70.0	25.0
107.0	2430.0	70.0	24.0
104.0	2375.0	70.0	25.0
121.0	2234.0	70.0	26.0
199.0	2648.0	70.0	21.0
360.0	4615.0	70.0	10.0
307.0	4376.0	70.0	10.0
318.0	4382.0	70.0	11.0
304.0	4732.0	70.0	9.0
97.0	2130.0	71.0	27.0
140.0	2264.0	71.0	28.0
113.0	2228.0	71.0	25.0
232.0	2634.0	71.0	19.0
225.0	3439.0	71.0	16.0
250.0	3329.0	71.0	17.0
250.0	3302.0	71.0	19.0
232.0	3288.0	71.0	18.0
350.0	4209.0	71.0	14.0
400.0	4464.0	71.0	14.0
351.0	4154.0	71.0	14.0
318.0	4096.0	71.0	14.0
383.0	4955.0	71.0	12.0
400.0	4746.0	71.0	13.0
400.0	5140.0	71.0	13.0
258.0	2962.0	71.0	18.0
140.0	2408.0	71.0	22.0
250.0	3282.0	71.0	19.0
250.0	3139.0	71.0	18.0
122.0	2220.0	71.0	23.0
116.0	2123.0	71.0	28.0
79.0	2074.0	71.0	30.0
88.0	2065.0	71.0	30.0
71.0	1773.0	71.0	31.0
72.0	1613.0	71.0	35.0
97.0	1834.0	71.0	27.0
91.0	1955.0	71.0	26.0
113.0	2278.0	72.0	24.0
97.5	2126.0	72.0	25.0
97.0	2254.0	72.0	23.0
140.0	2408.0	72.0	20.0
122.0	2226.0	72.0	21.0
350.0	4274.0	72.0	13.0
400.0	4385.0	72.0	14.0
318.0	4135.0	72.0	15.0
351.0	4129.0	72.0	14.0
304.0	3672.0	72.0	17.0
429.0	4633.0	72.0	11.0
350.0	4502.0	72.0	13.0
350.0	4456.0	72.0	12.0
400.0	4422.0	72.0	13.0
70.0	2330.0	72.0	19.0
304.0	3892.0	72.0	15.0
307.0	4098.0	72.0	13.0
302.0	4294.0	72.0	13.0
318.0	4077.0	72.0	14.0
121.0	2933.0	72.0	18.0
121.0	2511.0	72.0	22.0
120.0	2979.0	72.0	21.0
96.0	2189.0	72.0	26.0
122.0	2395.0	72.0	22.0
97.0	2288.0	72.0	28.0
120.0	2506.0	72.0	23.0
98.0	2164.0	72.0	28.0
97.0	2100.0	72.0	27.0
350.0	4100.0	73.0	13.0
304.0	3672.0	73.0	14.0
350.0	3988.0	73.0	13.0
302.0	4042.0	73.0	14.0
318.0	3777.0	73.0	15.0
429.0	4952.0	73.0	12.0
400.0	4464.0	73.0	13.0
351.0	4363.0	73.0	13.0
318.0	4237.0	73.0	14.0
440.0	4735.0	73.0	13.0
455.0	4951.0	73.0	12.0
360.0	3821.0	73.0	13.0
225.0	3121.0	73.0	18.0
250.0	3278.0	73.0	16.0
232.0	2945.0	73.0	18.0
250.0	3021.0	73.0	18.0
198.0	2904.0	73.0	23.0
97.0	1950.0	73.0	26.0
400.0	4997.0	73.0	11.0
400.0	4906.0	73.0	12.0
360.0	4654.0	73.0	13.0
350.0	4499.0	73.0	12.0
232.0	2789.0	73.0	18.0
97.0	2279.0	73.0	20.0
140.0	2401.0	73.0	21.0
108.0	2379.0	73.0	22.0
70.0	2124.0	73.0	18.0
122.0	2310.0	73.0	19.0
155.0	2472.0	73.0	21.0
98.0	2265.0	73.0	26.0
350.0	4082.0	73.0	15.0
400.0	4278.0	73.0	16.0
68.0	1867.0	73.0	29.0
116.0	2158.0	73.0	24.0
114.0	2582.0	73.0	20.0
121.0	2868.0	73.0	19.0
318.0	3399.0	73.0	15.0
121.0	2660.0	73.0	24.0
156.0	2807.0	73.0	20.0
350.0	3664.0	73.0	11.0
198.0	3102.0	74.0	20.0
232.0	2901.0	74.0	19.0
250.0	3336.0	74.0	15.0
79.0	1950.0	74.0	31.0
122.0	2451.0	74.0	26.0
71.0	1836.0	74.0	32.0
140.0	2542.0	74.0	25.0
250.0	3781.0	74.0	16.0
258.0	3632.0	74.0	16.0
225.0	3613.0	74.0	18.0
302.0	4141.0	74.0	16.0
350.0	4699.0	74.0	13.0
318.0	4457.0	74.0	14.0
302.0	4638.0	74.0	14.0
304.0	4257.0	74.0	14.0
98.0	2219.0	74.0	29.0
79.0	1963.0	74.0	26.0
97.0	2300.0	74.0	26.0
76.0	1649.0	74.0	31.0
83.0	2003.0	74.0	32.0
90.0	2125.0	74.0	28.0
90.0	2108.0	74.0	24.0
116.0	2246.0	74.0	26.0
120.0	2489.0	74.0	24.0
108.0	2391.0	74.0	26.0
79.0	2000.0	74.0	31.0
225.0	3264.0	75.0	19.0
250.0	3459.0	75.0	18.0
250.0	3432.0	75.0	15.0
250.0	3158.0	75.0	15.0
400.0	4668.0	75.0	16.0
350.0	4440.0	75.0	15.0
318.0	4498.0	75.0	16.0
351.0	4657.0	75.0	14.0
231.0	3907.0	75.0	17.0
250.0	3897.0	75.0	16.0
258.0	3730.0	75.0	15.0
225.0	3785.0	75.0	18.0
231.0	3039.0	75.0	21.0
262.0	3221.0	75.0	20.0
302.0	3169.0	75.0	13.0
97.0	2171.0	75.0	29.0
140.0	2639.0	75.0	23.0
232.0	2914.0	75.0	20.0
140.0	2592.0	75.0	23.0
134.0	2702.0	75.0	24.0
90.0	2223.0	75.0	25.0
119.0	2545.0	75.0	24.0
171.0	2984.0	75.0	18.0
90.0	1937.0	75.0	29.0
232.0	3211.0	75.0	19.0
115.0	2694.0	75.0	23.0
120.0	2957.0	75.0	23.0
121.0	2945.0	75.0	22.0
121.0	2671.0	75.0	25.0
91.0	1795.0	75.0	33.0
107.0	2464.0	76.0	28.0
116.0	2220.0	76.0	25.0
140.0	2572.0	76.0	25.0
98.0	2255.0	76.0	26.0
101.0	2202.0	76.0	27.0
305.0	4215.0	76.0	17.5
318.0	4190.0	76.0	16.0
304.0	3962.0	76.0	15.5
351.0	4215.0	76.0	14.5
225.0	3233.0	76.0	22.0
250.0	3353.0	76.0	22.0
200.0	3012.0	76.0	24.0
232.0	3085.0	76.0	22.5
85.0	2035.0	76.0	29.0
98.0	2164.0	76.0	24.5
90.0	1937.0	76.0	29.0
91.0	1795.0	76.0	33.0
225.0	3651.0	76.0	20.0
250.0	3574.0	76.0	18.0
250.0	3645.0	76.0	18.5
258.0	3193.0	76.0	17.5
97.0	1825.0	76.0	29.5
85.0	1990.0	76.0	32.0
97.0	2155.0	76.0	28.0
140.0	2565.0	76.0	26.5
130.0	3150.0	76.0	20.0
318.0	3940.0	76.0	13.0
120.0	3270.0	76.0	19.0
156.0	2930.0	76.0	19.0
168.0	3820.0	76.0	16.5
350.0	4380.0	76.0	16.5
350.0	4055.0	76.0	13.0
302.0	3870.0	76.0	13.0
318.0	3755.0	76.0	13.0
98.0	2045.0	77.0	31.5
111.0	2155.0	77.0	30.0
79.0	1825.0	77.0	36.0
122.0	2300.0	77.0	25.5
85.0	1945.0	77.0	33.5
305.0	3880.0	77.0	17.5
260.0	4060.0	77.0	17.0
318.0	4140.0	77.0	15.5
302.0	4295.0	77.0	15.0
